Country,Value,Metric,Year,Organism,Drug
Belgium,,N,2012,Acinetobacter spp,fluoroquinolones
Finland,,N,2012,Acinetobacter spp,fluoroquinolones
Sweden,,N,2012,Acinetobacter spp,fluoroquinolones
Ireland,,N,2012,Acinetobacter spp,fluoroquinolones
Denmark,83.0,N,2012,Acinetobacter spp,fluoroquinolones
Netherlands,10.0,N,2012,Acinetobacter spp,fluoroquinolones
United Kingdom,105.0,N,2012,Acinetobacter spp,fluoroquinolones
Germany,121.0,N,2012,Acinetobacter spp,fluoroquinolones
Norway,25.0,N,2012,Acinetobacter spp,fluoroquinolones
Malta,6.0,N,2012,Acinetobacter spp,fluoroquinolones
France,385.0,N,2012,Acinetobacter spp,fluoroquinolones
Austria,,N,2012,Acinetobacter spp,fluoroquinolones
Czech Republic,,N,2012,Acinetobacter spp,fluoroquinolones
Slovakia,,N,2012,Acinetobacter spp,fluoroquinolones
Portugal,168.0,N,2012,Acinetobacter spp,fluoroquinolones
Slovenia,25.0,N,2012,Acinetobacter spp,fluoroquinolones
Spain,,N,2012,Acinetobacter spp,fluoroquinolones
Hungary,405.0,N,2012,Acinetobacter spp,fluoroquinolones
Latvia,,N,2012,Acinetobacter spp,fluoroquinolones
Bulgaria,65.0,N,2012,Acinetobacter spp,fluoroquinolones
Italy,236.0,N,2012,Acinetobacter spp,fluoroquinolones
Cyprus,23.0,N,2012,Acinetobacter spp,fluoroquinolones
Poland,209.0,N,2012,Acinetobacter spp,fluoroquinolones
Croatia,,N,2012,Acinetobacter spp,fluoroquinolones
Lithuania,,N,2012,Acinetobacter spp,fluoroquinolones
Greece,1204.0,N,2012,Acinetobacter spp,fluoroquinolones
Estonia,,N,2012,Acinetobacter spp,fluoroquinolones
Iceland,2.0,N,2012,Acinetobacter spp,fluoroquinolones
Luxembourg,6.0,N,2012,Acinetobacter spp,fluoroquinolones
Belgium,,%R,2012,Acinetobacter spp,fluoroquinolones
Finland,,%R,2012,Acinetobacter spp,fluoroquinolones
Sweden,,%R,2012,Acinetobacter spp,fluoroquinolones
Ireland,,%R,2012,Acinetobacter spp,fluoroquinolones
Denmark,12.0,%R,2012,Acinetobacter spp,fluoroquinolones
Netherlands,0.0,%R,2012,Acinetobacter spp,fluoroquinolones
United Kingdom,2.9,%R,2012,Acinetobacter spp,fluoroquinolones
Germany,8.3,%R,2012,Acinetobacter spp,fluoroquinolones
Norway,0.0,%R,2012,Acinetobacter spp,fluoroquinolones
Malta,,%R,2012,Acinetobacter spp,fluoroquinolones
France,15.6,%R,2012,Acinetobacter spp,fluoroquinolones
Austria,,%R,2012,Acinetobacter spp,fluoroquinolones
Czech Republic,,%R,2012,Acinetobacter spp,fluoroquinolones
Slovakia,,%R,2012,Acinetobacter spp,fluoroquinolones
Portugal,77.4,%R,2012,Acinetobacter spp,fluoroquinolones
Slovenia,28.0,%R,2012,Acinetobacter spp,fluoroquinolones
Spain,,%R,2012,Acinetobacter spp,fluoroquinolones
Hungary,78.0,%R,2012,Acinetobacter spp,fluoroquinolones
Latvia,,%R,2012,Acinetobacter spp,fluoroquinolones
Bulgaria,69.2,%R,2012,Acinetobacter spp,fluoroquinolones
Italy,86.0,%R,2012,Acinetobacter spp,fluoroquinolones
Cyprus,56.5,%R,2012,Acinetobacter spp,fluoroquinolones
Poland,78.0,%R,2012,Acinetobacter spp,fluoroquinolones
Croatia,,%R,2012,Acinetobacter spp,fluoroquinolones
Lithuania,,%R,2012,Acinetobacter spp,fluoroquinolones
Greece,93.1,%R,2012,Acinetobacter spp,fluoroquinolones
Estonia,,%R,2012,Acinetobacter spp,fluoroquinolones
Iceland,,%R,2012,Acinetobacter spp,fluoroquinolones
Luxembourg,,%R,2012,Acinetobacter spp,fluoroquinolones
Belgium,3.0,N,2013,Acinetobacter spp,fluoroquinolones
Finland,36.0,N,2013,Acinetobacter spp,fluoroquinolones
Sweden,74.0,N,2013,Acinetobacter spp,fluoroquinolones
Ireland,88.0,N,2013,Acinetobacter spp,fluoroquinolones
Denmark,79.0,N,2013,Acinetobacter spp,fluoroquinolones
Netherlands,69.0,N,2013,Acinetobacter spp,fluoroquinolones
United Kingdom,165.0,N,2013,Acinetobacter spp,fluoroquinolones
Germany,175.0,N,2013,Acinetobacter spp,fluoroquinolones
Norway,36.0,N,2013,Acinetobacter spp,fluoroquinolones
Malta,7.0,N,2013,Acinetobacter spp,fluoroquinolones
France,397.0,N,2013,Acinetobacter spp,fluoroquinolones
Austria,51.0,N,2013,Acinetobacter spp,fluoroquinolones
Czech Republic,91.0,N,2013,Acinetobacter spp,fluoroquinolones
Slovakia,188.0,N,2013,Acinetobacter spp,fluoroquinolones
Portugal,225.0,N,2013,Acinetobacter spp,fluoroquinolones
Slovenia,25.0,N,2013,Acinetobacter spp,fluoroquinolones
Spain,76.0,N,2013,Acinetobacter spp,fluoroquinolones
Hungary,472.0,N,2013,Acinetobacter spp,fluoroquinolones
Latvia,,N,2013,Acinetobacter spp,fluoroquinolones
Bulgaria,94.0,N,2013,Acinetobacter spp,fluoroquinolones
Italy,472.0,N,2013,Acinetobacter spp,fluoroquinolones
Cyprus,33.0,N,2013,Acinetobacter spp,fluoroquinolones
Poland,188.0,N,2013,Acinetobacter spp,fluoroquinolones
Croatia,112.0,N,2013,Acinetobacter spp,fluoroquinolones
Lithuania,,N,2013,Acinetobacter spp,fluoroquinolones
Greece,812.0,N,2013,Acinetobacter spp,fluoroquinolones
Estonia,,N,2013,Acinetobacter spp,fluoroquinolones
Iceland,,N,2013,Acinetobacter spp,fluoroquinolones
Luxembourg,3.0,N,2013,Acinetobacter spp,fluoroquinolones
Belgium,,%R,2013,Acinetobacter spp,fluoroquinolones
Finland,2.8,%R,2013,Acinetobacter spp,fluoroquinolones
Sweden,5.4,%R,2013,Acinetobacter spp,fluoroquinolones
Ireland,1.1,%R,2013,Acinetobacter spp,fluoroquinolones
Denmark,6.3,%R,2013,Acinetobacter spp,fluoroquinolones
Netherlands,2.9,%R,2013,Acinetobacter spp,fluoroquinolones
United Kingdom,3.6,%R,2013,Acinetobacter spp,fluoroquinolones
Germany,9.7,%R,2013,Acinetobacter spp,fluoroquinolones
Norway,0.0,%R,2013,Acinetobacter spp,fluoroquinolones
Malta,,%R,2013,Acinetobacter spp,fluoroquinolones
France,13.6,%R,2013,Acinetobacter spp,fluoroquinolones
Austria,21.6,%R,2013,Acinetobacter spp,fluoroquinolones
Czech Republic,19.8,%R,2013,Acinetobacter spp,fluoroquinolones
Slovakia,58.5,%R,2013,Acinetobacter spp,fluoroquinolones
Portugal,68.9,%R,2013,Acinetobacter spp,fluoroquinolones
Slovenia,28.0,%R,2013,Acinetobacter spp,fluoroquinolones
Spain,72.4,%R,2013,Acinetobacter spp,fluoroquinolones
Hungary,73.5,%R,2013,Acinetobacter spp,fluoroquinolones
