Country,MetricYear,Value,Organism,Drug
Belgium,N_2012,,Acinetobacter spp,fluoroquinolones
Finland,N_2012,,Acinetobacter spp,fluoroquinolones
Sweden,N_2012,,Acinetobacter spp,fluoroquinolones
Ireland,N_2012,,Acinetobacter spp,fluoroquinolones
Denmark,N_2012,83.0,Acinetobacter spp,fluoroquinolones
Netherlands,N_2012,10.0,Acinetobacter spp,fluoroquinolones
United Kingdom,N_2012,105.0,Acinetobacter spp,fluoroquinolones
Germany,N_2012,121.0,Acinetobacter spp,fluoroquinolones
Norway,N_2012,25.0,Acinetobacter spp,fluoroquinolones
Malta,N_2012,6.0,Acinetobacter spp,fluoroquinolones
France,N_2012,385.0,Acinetobacter spp,fluoroquinolones
Austria,N_2012,,Acinetobacter spp,fluoroquinolones
Czech Republic,N_2012,,Acinetobacter spp,fluoroquinolones
Slovakia,N_2012,,Acinetobacter spp,fluoroquinolones
Portugal,N_2012,168.0,Acinetobacter spp,fluoroquinolones
Slovenia,N_2012,25.0,Acinetobacter spp,fluoroquinolones
Spain,N_2012,,Acinetobacter spp,fluoroquinolones
Hungary,N_2012,405.0,Acinetobacter spp,fluoroquinolones
Latvia,N_2012,,Acinetobacter spp,fluoroquinolones
Bulgaria,N_2012,65.0,Acinetobacter spp,fluoroquinolones
Italy,N_2012,236.0,Acinetobacter spp,fluoroquinolones
Cyprus,N_2012,23.0,Acinetobacter spp,fluoroquinolones
Poland,N_2012,209.0,Acinetobacter spp,fluoroquinolones
Croatia,N_2012,,Acinetobacter spp,fluoroquinolones
Lithuania,N_2012,,Acinetobacter spp,fluoroquinolones
Greece,N_2012,1204.0,Acinetobacter spp,fluoroquinolones
Estonia,N_2012,,Acinetobacter spp,fluoroquinolones
Iceland,N_2012,2.0,Acinetobacter spp,fluoroquinolones
Luxembourg,N_2012,6.0,Acinetobacter spp,fluoroquinolones
Belgium,%R_2012,,Acinetobacter spp,fluoroquinolones
Finland,%R_2012,,Acinetobacter spp,fluoroquinolones
Sweden,%R_2012,,Acinetobacter spp,fluoroquinolones
Ireland,%R_2012,,Acinetobacter spp,fluoroquinolones
Denmark,%R_2012,12.0,Acinetobacter spp,fluoroquinolones
Netherlands,%R_2012,0.0,Acinetobacter spp,fluoroquinolones
United Kingdom,%R_2012,2.9,Acinetobacter spp,fluoroquinolones
Germany,%R_2012,8.3,Acinetobacter spp,fluoroquinolones
Norway,%R_2012,0.0,Acinetobacter spp,fluoroquinolones
Malta,%R_2012,,Acinetobacter spp,fluoroquinolones
France,%R_2012,15.6,Acinetobacter spp,fluoroquinolones
Austria,%R_2012,,Acinetobacter spp,fluoroquinolones
Czech Republic,%R_2012,,Acinetobacter spp,fluoroquinolones
Slovakia,%R_2012,,Acinetobacter spp,fluoroquinolones
Portugal,%R_2012,77.4,Acinetobacter spp,fluoroquinolones
Slovenia,%R_2012,28.0,Acinetobacter spp,fluoroquinolones
Spain,%R_2012,,Acinetobacter spp,fluoroquinolones
Hungary,%R_2012,78.0,Acinetobacter spp,fluoroquinolones
Latvia,%R_2012,,Acinetobacter spp,fluoroquinolones
Bulgaria,%R_2012,69.2,Acinetobacter spp,fluoroquinolones
Italy,%R_2012,86.0,Acinetobacter spp,fluoroquinolones
Cyprus,%R_2012,56.5,Acinetobacter spp,fluoroquinolones
Poland,%R_2012,78.0,Acinetobacter spp,fluoroquinolones
Croatia,%R_2012,,Acinetobacter spp,fluoroquinolones
Lithuania,%R_2012,,Acinetobacter spp,fluoroquinolones
Greece,%R_2012,93.1,Acinetobacter spp,fluoroquinolones
Estonia,%R_2012,,Acinetobacter spp,fluoroquinolones
Iceland,%R_2012,,Acinetobacter spp,fluoroquinolones
Luxembourg,%R_2012,,Acinetobacter spp,fluoroquinolones
Belgium,N_2013,3.0,Acinetobacter spp,fluoroquinolones
Finland,N_2013,36.0,Acinetobacter spp,fluoroquinolones
Sweden,N_2013,74.0,Acinetobacter spp,fluoroquinolones
Ireland,N_2013,88.0,Acinetobacter spp,fluoroquinolones
Denmark,N_2013,79.0,Acinetobacter spp,fluoroquinolones
Netherlands,N_2013,69.0,Acinetobacter spp,fluoroquinolones
United Kingdom,N_2013,165.0,Acinetobacter spp,fluoroquinolones
Germany,N_2013,175.0,Acinetobacter spp,fluoroquinolones
Norway,N_2013,36.0,Acinetobacter spp,fluoroquinolones
Malta,N_2013,7.0,Acinetobacter spp,fluoroquinolones
France,N_2013,397.0,Acinetobacter spp,fluoroquinolones
Austria,N_2013,51.0,Acinetobacter spp,fluoroquinolones
Czech Republic,N_2013,91.0,Acinetobacter spp,fluoroquinolones
Slovakia,N_2013,188.0,Acinetobacter spp,fluoroquinolones
Portugal,N_2013,225.0,Acinetobacter spp,fluoroquinolones
Slovenia,N_2013,25.0,Acinetobacter spp,fluoroquinolones
Spain,N_2013,76.0,Acinetobacter spp,fluoroquinolones
Hungary,N_2013,472.0,Acinetobacter spp,fluoroquinolones
Latvia,N_2013,,Acinetobacter spp,fluoroquinolones
Bulgaria,N_2013,94.0,Acinetobacter spp,fluoroquinolones
Italy,N_2013,472.0,Acinetobacter spp,fluoroquinolones
Cyprus,N_2013,33.0,Acinetobacter spp,fluoroquinolones
Poland,N_2013,188.0,Acinetobacter spp,fluoroquinolones
Croatia,N_2013,112.0,Acinetobacter spp,fluoroquinolones
Lithuania,N_2013,,Acinetobacter spp,fluoroquinolones
Greece,N_2013,812.0,Acinetobacter spp,fluoroquinolones
Estonia,N_2013,,Acinetobacter spp,fluoroquinolones
Iceland,N_2013,,Acinetobacter spp,fluoroquinolones
Luxembourg,N_2013,3.0,Acinetobacter spp,fluoroquinolones
Belgium,%R_2013,,Acinetobacter spp,fluoroquinolones
Finland,%R_2013,2.8,Acinetobacter spp,fluoroquinolones
Sweden,%R_2013,5.4,Acinetobacter spp,fluoroquinolones
Ireland,%R_2013,1.1,Acinetobacter spp,fluoroquinolones
Denmark,%R_2013,6.3,Acinetobacter spp,fluoroquinolones
Netherlands,%R_2013,2.9,Acinetobacter spp,fluoroquinolones
United Kingdom,%R_2013,3.6,Acinetobacter spp,fluoroquinolones
Germany,%R_2013,9.7,Acinetobacter spp,fluoroquinolones
Norway,%R_2013,0.0,Acinetobacter spp,fluoroquinolones
Malta,%R_2013,,Acinetobacter spp,fluoroquinolones
France,%R_2013,13.6,Acinetobacter spp,fluoroquinolones
Austria,%R_2013,21.6,Acinetobacter spp,fluoroquinolones
Czech Republic,%R_2013,19.8,Acinetobacter spp,fluoroquinolones
Slovakia,%R_2013,58.5,Acinetobacter spp,fluoroquinolones
Portugal,%R_2013,68.9,Acinetobacter spp,fluoroquinolones
Slovenia,%R_2013,28.0,Acinetobacter spp,fluoroquinolones
Spain,%R_2013,72.4,Acinetobacter spp,fluoroquinolones
Hungary,%R_2013,73.5,Acinetobacter spp,fluoroquinolones
